,image,class,format,mode,shape
1002,Schizophrenia (1891).jpg,infected,JPEG,RGB,"(630, 504, 3)"
1003,Schizophrenia (1892).jpg,infected,JPEG,RGB,"(456, 374, 3)"
1004,Schizophrenia (1893).jpg,infected,JPEG,RGB,"(349, 300, 3)"
1005,Schizophrenia (1894).jpg,infected,JPEG,RGB,"(290, 250, 3)"
1006,Schizophrenia (1895).jpg,infected,JPEG,RGB,"(338, 264, 3)"
1007,Schizophrenia (1896).jpg,infected,JPEG,RGB,"(442, 353, 3)"
1008,Schizophrenia (1897).jpg,infected,JPEG,RGB,"(353, 300, 3)"
1009,Schizophrenia (1898).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1010,Schizophrenia (1899).jpg,infected,JPEG,RGB,"(234, 216, 3)"
1011,Schizophrenia (19).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1012,Schizophrenia (19).tif,infected,TIFF,RGB,"(256, 256, 3)"
1013,Schizophrenia (190).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1014,Schizophrenia (1900).jpg,infected,JPEG,RGB,"(223, 226, 3)"
1015,Schizophrenia (1901).jpg,infected,JPEG,RGB,"(308, 244, 3)"
1016,Schizophrenia (1902).jpg,infected,JPEG,RGB,"(350, 272, 3)"
1017,Schizophrenia (1903).jpg,infected,JPEG,RGB,"(286, 241, 3)"
1018,Schizophrenia (1904).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1019,Schizophrenia (1905).jpg,infected,JPEG,RGB,"(260, 194, 3)"
1020,Schizophrenia (1906).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1021,Schizophrenia (1907).jpg,infected,JPEG,RGB,"(938, 864, 3)"
1022,Schizophrenia (1908).jpg,infected,JPEG,RGB,"(355, 272, 3)"
1023,Schizophrenia (1909).jpg,infected,JPEG,RGB,"(323, 276, 3)"
1024,Schizophrenia (191).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1025,Schizophrenia (1910).jpg,infected,JPEG,RGB,"(357, 283, 3)"
1026,Schizophrenia (1911).jpg,infected,JPEG,RGB,"(218, 180, 3)"
1027,Schizophrenia (1912).jpg,infected,JPEG,RGB,"(348, 287, 3)"
1028,Schizophrenia (1913).jpg,infected,JPEG,RGB,"(993, 825, 3)"
1029,Schizophrenia (1914).jpg,infected,JPEG,RGB,"(246, 205, 3)"
1030,Schizophrenia (1915).jpg,infected,JPEG,RGB,"(279, 258, 3)"
1031,Schizophrenia (1916).jpg,infected,JPEG,RGB,"(369, 400, 3)"
1032,Schizophrenia (1917).jpg,infected,JPEG,RGB,"(324, 272, 3)"
1033,Schizophrenia (1918).jpg,infected,JPEG,RGB,"(283, 231, 3)"
1034,Schizophrenia (1919).jpg,infected,JPEG,RGB,"(359, 300, 3)"
1035,Schizophrenia (192).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1036,Schizophrenia (1920).jpg,infected,JPEG,RGB,"(370, 286, 3)"
1037,Schizophrenia (1921).jpg,infected,JPEG,RGB,"(309, 232, 3)"
1038,Schizophrenia (1922).jpg,infected,JPEG,RGB,"(334, 283, 3)"
1039,Schizophrenia (1923).jpg,infected,JPEG,RGB,"(354, 303, 3)"
1040,Schizophrenia (1924).jpg,infected,JPEG,RGB,"(348, 297, 3)"
1041,Schizophrenia (1925).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
1042,Schizophrenia (1926).jpg,infected,JPEG,RGB,"(316, 270, 3)"
1043,Schizophrenia (1927).jpg,infected,JPEG,RGB,"(336, 264, 3)"
1044,Schizophrenia (1928).jpg,infected,JPEG,RGB,"(303, 223, 3)"
1045,Schizophrenia (1929).jpg,infected,JPEG,RGB,"(291, 253, 3)"
1046,Schizophrenia (193).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1047,Schizophrenia (1930).jpg,infected,JPEG,RGB,"(325, 254, 3)"
1048,Schizophrenia (1931).jpg,infected,JPEG,RGB,"(354, 279, 3)"
1049,Schizophrenia (1932).jpg,infected,JPEG,RGB,"(318, 273, 3)"
1050,Schizophrenia (1933).jpg,infected,JPEG,RGB,"(347, 300, 3)"
1051,Schizophrenia (1934).jpg,infected,JPEG,RGB,"(359, 297, 3)"
1052,Schizophrenia (1935).jpg,infected,JPEG,RGB,"(342, 273, 3)"
1053,Schizophrenia (1936).jpg,infected,JPEG,RGB,"(256, 256, 3)"
1054,Schizophrenia (1937).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1055,Schizophrenia (1938).jpg,infected,JPEG,RGB,"(300, 240, 3)"
1056,Schizophrenia (1939).jpg,infected,JPEG,RGB,"(247, 204, 3)"
1057,Schizophrenia (194).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1058,Schizophrenia (1940).jpg,infected,JPEG,RGB,"(277, 272, 3)"
1059,Schizophrenia (1941).jpg,infected,JPEG,RGB,"(344, 279, 3)"
1060,Schizophrenia (1942).jpg,infected,JPEG,RGB,"(331, 272, 3)"
1061,Schizophrenia (1943).jpg,infected,JPEG,RGB,"(351, 278, 3)"
1062,Schizophrenia (1944).jpg,infected,JPEG,RGB,"(355, 294, 3)"
1063,Schizophrenia (1945).jpg,infected,JPEG,RGB,"(331, 260, 3)"
1064,Schizophrenia (1946).jpg,infected,JPEG,RGB,"(236, 213, 3)"
1065,Schizophrenia (1947).jpg,infected,JPEG,RGB,"(251, 201, 3)"
1066,Schizophrenia (1948).jpg,infected,JPEG,RGB,"(295, 283, 3)"
1067,Schizophrenia (1949).jpg,infected,JPEG,RGB,"(352, 281, 3)"
1068,Schizophrenia (195).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1069,Schizophrenia (1950).jpg,infected,JPEG,RGB,"(960, 781, 3)"
1070,Schizophrenia (1951).jpg,infected,JPEG,RGB,"(349, 292, 3)"
1071,Schizophrenia (1952).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1072,Schizophrenia (1953).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1073,Schizophrenia (1954).jpg,infected,JPEG,RGB,"(519, 456, 3)"
1074,Schizophrenia (1955).jpg,infected,JPEG,RGB,"(555, 526, 3)"
1075,Schizophrenia (1956).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1076,Schizophrenia (1957).jpg,infected,JPEG,RGB,"(380, 310, 3)"
1077,Schizophrenia (1958).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1078,Schizophrenia (1959).jpg,infected,JPEG,RGB,"(251, 204, 3)"
1079,Schizophrenia (196).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1080,Schizophrenia (1960).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1081,Schizophrenia (1961).jpg,infected,JPEG,RGB,"(365, 306, 3)"
1082,Schizophrenia (1962).jpg,infected,JPEG,RGB,"(210, 200, 3)"
1083,Schizophrenia (1963).jpg,infected,JPEG,RGB,"(337, 293, 3)"
1084,Schizophrenia (1964).jpg,infected,JPEG,RGB,"(340, 291, 3)"
1085,Schizophrenia (1965).jpg,infected,JPEG,RGB,"(307, 271, 3)"
1086,Schizophrenia (1966).jpg,infected,JPEG,RGB,"(350, 315, 3)"
1087,Schizophrenia (1967).jpg,infected,JPEG,RGB,"(219, 230, 3)"
1088,Schizophrenia (1968).jpg,infected,JPEG,RGB,"(239, 211, 3)"
1089,Schizophrenia (1969).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1090,Schizophrenia (197).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1091,Schizophrenia (1970).jpg,infected,JPEG,RGB,"(938, 911, 3)"
1092,Schizophrenia (1971).jpg,infected,JPEG,RGB,"(255, 197, 3)"
1093,Schizophrenia (1972).jpg,infected,JPEG,RGB,"(520, 433, 3)"
1094,Schizophrenia (1973).jpg,infected,JPEG,RGB,"(243, 205, 3)"
1095,Schizophrenia (1974).jpg,infected,JPEG,RGB,"(340, 288, 3)"
1096,Schizophrenia (1975).jpg,infected,JPEG,RGB,"(630, 504, 3)"
1097,Schizophrenia (1976).jpg,infected,JPEG,RGB,"(456, 374, 3)"
1098,Schizophrenia (1977).jpg,infected,JPEG,RGB,"(349, 300, 3)"
1099,Schizophrenia (1978).jpg,infected,JPEG,RGB,"(290, 250, 3)"
1100,Schizophrenia (1979).jpg,infected,JPEG,RGB,"(338, 264, 3)"
1101,Schizophrenia (198).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1102,Schizophrenia (1980).jpg,infected,JPEG,RGB,"(442, 353, 3)"
1103,Schizophrenia (1981).jpg,infected,JPEG,RGB,"(353, 300, 3)"
1104,Schizophrenia (1982).jpg,infected,JPEG,RGB,"(251, 201, 3)"
1105,Schizophrenia (1983).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1106,Schizophrenia (1984).jpg,infected,JPEG,RGB,"(234, 216, 3)"
1107,Schizophrenia (1985).jpg,infected,JPEG,RGB,"(223, 226, 3)"
1108,Schizophrenia (1986).jpg,infected,JPEG,RGB,"(308, 244, 3)"
1109,Schizophrenia (1987).jpg,infected,JPEG,RGB,"(350, 272, 3)"
1110,Schizophrenia (1988).jpg,infected,JPEG,RGB,"(286, 241, 3)"
1111,Schizophrenia (1989).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1112,Schizophrenia (199).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1113,Schizophrenia (1990).jpg,infected,JPEG,RGB,"(260, 194, 3)"
1114,Schizophrenia (1991).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1115,Schizophrenia (1992).jpg,infected,JPEG,RGB,"(938, 864, 3)"
1116,Schizophrenia (1993).jpg,infected,JPEG,RGB,"(355, 272, 3)"
1117,Schizophrenia (1994).jpg,infected,JPEG,RGB,"(323, 276, 3)"
1118,Schizophrenia (1995).jpg,infected,JPEG,RGB,"(357, 283, 3)"
1119,Schizophrenia (1996).jpg,infected,JPEG,RGB,"(218, 180, 3)"
1120,Schizophrenia (1997).jpg,infected,JPEG,RGB,"(348, 287, 3)"
1122,Schizophrenia (1999).jpg,infected,JPEG,RGB,"(993, 825, 3)"
1123,Schizophrenia (2).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1124,Schizophrenia (2).tif,infected,TIFF,RGB,"(256, 256, 3)"
1125,Schizophrenia (20).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1126,Schizophrenia (20).tif,infected,TIFF,RGB,"(256, 256, 3)"
1127,Schizophrenia (200).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1128,Schizophrenia (2000).jpg,infected,JPEG,RGB,"(246, 205, 3)"
1129,Schizophrenia (2001).jpg,infected,JPEG,RGB,"(279, 258, 3)"
1130,Schizophrenia (2002).jpg,infected,JPEG,RGB,"(369, 400, 3)"
1131,Schizophrenia (2003).jpg,infected,JPEG,RGB,"(324, 272, 3)"
1132,Schizophrenia (2004).jpg,infected,JPEG,RGB,"(283, 231, 3)"
1133,Schizophrenia (2005).jpg,infected,JPEG,RGB,"(359, 300, 3)"
1134,Schizophrenia (2006).jpg,infected,JPEG,RGB,"(370, 286, 3)"
1135,Schizophrenia (2007).jpg,infected,JPEG,RGB,"(309, 232, 3)"
1136,Schizophrenia (2008).jpg,infected,JPEG,RGB,"(334, 283, 3)"
1137,Schizophrenia (2009).jpg,infected,JPEG,RGB,"(354, 303, 3)"
1138,Schizophrenia (201).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1139,Schizophrenia (2010).jpg,infected,JPEG,RGB,"(360, 313, 3)"
1140,Schizophrenia (2011).jpg,infected,JPEG,RGB,"(348, 297, 3)"
1141,Schizophrenia (2012).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
1142,Schizophrenia (2013).jpg,infected,JPEG,RGB,"(316, 270, 3)"
1143,Schizophrenia (2014).jpg,infected,JPEG,RGB,"(336, 264, 3)"
1144,Schizophrenia (2015).jpg,infected,JPEG,RGB,"(303, 223, 3)"
1145,Schizophrenia (2016).jpg,infected,JPEG,RGB,"(291, 253, 3)"
1146,Schizophrenia (2017).jpg,infected,JPEG,RGB,"(300, 263, 3)"
1147,Schizophrenia (2018).jpg,infected,JPEG,RGB,"(325, 254, 3)"
1149,Schizophrenia (202).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1150,Schizophrenia (2020).jpg,infected,JPEG,RGB,"(355, 290, 3)"
1151,Schizophrenia (2021).jpg,infected,JPEG,RGB,"(354, 279, 3)"
1152,Schizophrenia (2022).jpg,infected,JPEG,RGB,"(586, 467, 3)"
1153,Schizophrenia (2023).jpg,infected,JPEG,RGB,"(318, 273, 3)"
1154,Schizophrenia (2024).jpg,infected,JPEG,RGB,"(347, 300, 3)"
1155,Schizophrenia (2025).jpg,infected,JPEG,RGB,"(359, 297, 3)"
1156,Schizophrenia (2026).jpg,infected,JPEG,RGB,"(342, 273, 3)"
1157,Schizophrenia (2027).jpg,infected,JPEG,RGB,"(256, 256, 3)"
1158,Schizophrenia (2028).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1159,Schizophrenia (2029).jpg,infected,JPEG,RGB,"(212, 209, 3)"
1160,Schizophrenia (203).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1161,Schizophrenia (2030).jpg,infected,JPEG,RGB,"(300, 240, 3)"
1162,Schizophrenia (2031).jpg,infected,JPEG,RGB,"(247, 204, 3)"
1163,Schizophrenia (2032).jpg,infected,JPEG,RGB,"(277, 272, 3)"
1165,Schizophrenia (2034).jpg,infected,JPEG,RGB,"(344, 279, 3)"
1166,Schizophrenia (2035).jpg,infected,JPEG,RGB,"(331, 272, 3)"
1167,Schizophrenia (2036).jpg,infected,JPEG,RGB,"(351, 278, 3)"
1168,Schizophrenia (2037).jpg,infected,JPEG,RGB,"(237, 213, 3)"
1169,Schizophrenia (2038).jpg,infected,JPEG,RGB,"(355, 294, 3)"
1170,Schizophrenia (2039).jpg,infected,JPEG,RGB,"(338, 248, 3)"
1171,Schizophrenia (204).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1172,Schizophrenia (2040).jpg,infected,JPEG,RGB,"(315, 289, 3)"
1173,Schizophrenia (2041).jpg,infected,JPEG,RGB,"(331, 260, 3)"
1174,Schizophrenia (2042).jpg,infected,JPEG,RGB,"(338, 283, 3)"
1175,Schizophrenia (2043).jpg,infected,JPEG,RGB,"(251, 201, 3)"
1176,Schizophrenia (2044).jpg,infected,JPEG,RGB,"(295, 283, 3)"
1177,Schizophrenia (2045).jpg,infected,JPEG,RGB,"(352, 281, 3)"
1178,Schizophrenia (2046).jpg,infected,JPEG,RGB,"(960, 781, 3)"
1179,Schizophrenia (2047).jpg,infected,JPEG,RGB,"(349, 292, 3)"
1180,Schizophrenia (2048).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1181,Schizophrenia (2049).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1182,Schizophrenia (205).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1183,Schizophrenia (2050).jpg,infected,JPEG,RGB,"(519, 456, 3)"
1184,Schizophrenia (2051).jpg,infected,JPEG,RGB,"(555, 526, 3)"
1185,Schizophrenia (2052).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1186,Schizophrenia (2053).jpg,infected,JPEG,RGB,"(380, 310, 3)"
1187,Schizophrenia (2054).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1188,Schizophrenia (2055).jpg,infected,JPEG,RGB,"(251, 204, 3)"
1190,Schizophrenia (2057).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1191,Schizophrenia (2058).jpg,infected,JPEG,RGB,"(365, 306, 3)"
1193,Schizophrenia (206).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1194,Schizophrenia (2060).jpg,infected,JPEG,RGB,"(210, 200, 3)"
1195,Schizophrenia (2061).jpg,infected,JPEG,RGB,"(337, 293, 3)"
1196,Schizophrenia (2062).jpg,infected,JPEG,RGB,"(340, 291, 3)"
1197,Schizophrenia (2063).jpg,infected,JPEG,RGB,"(307, 271, 3)"
1198,Schizophrenia (2064).jpg,infected,JPEG,RGB,"(350, 315, 3)"
1200,Schizophrenia (2066).jpg,infected,JPEG,RGB,"(219, 230, 3)"
1201,Schizophrenia (2067).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1202,Schizophrenia (2068).jpg,infected,JPEG,RGB,"(938, 911, 3)"
1203,Schizophrenia (2069).jpg,infected,JPEG,RGB,"(520, 433, 3)"
1204,Schizophrenia (207).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1206,Schizophrenia (2071).jpg,infected,JPEG,RGB,"(243, 205, 3)"
1207,Schizophrenia (2072).jpg,infected,JPEG,RGB,"(340, 288, 3)"
1208,Schizophrenia (2073).jpg,infected,JPEG,RGB,"(630, 504, 3)"
1209,Schizophrenia (2074).jpg,infected,JPEG,RGB,"(456, 374, 3)"
1211,Schizophrenia (2076).jpg,infected,JPEG,RGB,"(349, 300, 3)"
1212,Schizophrenia (2077).jpg,infected,JPEG,RGB,"(290, 250, 3)"
1213,Schizophrenia (2078).jpg,infected,JPEG,RGB,"(338, 264, 3)"
1214,Schizophrenia (2079).jpg,infected,JPEG,RGB,"(442, 353, 3)"
1215,Schizophrenia (208).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1216,Schizophrenia (2080).jpg,infected,JPEG,RGB,"(353, 300, 3)"
1217,Schizophrenia (2081).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1218,Schizophrenia (2082).jpg,infected,JPEG,RGB,"(234, 216, 3)"
1219,Schizophrenia (2083).jpg,infected,JPEG,RGB,"(223, 226, 3)"
1220,Schizophrenia (2084).jpg,infected,JPEG,RGB,"(308, 244, 3)"
1221,Schizophrenia (2085).jpg,infected,JPEG,RGB,"(350, 272, 3)"
1222,Schizophrenia (2086).jpg,infected,JPEG,RGB,"(286, 241, 3)"
1223,Schizophrenia (2087).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1224,Schizophrenia (2088).jpg,infected,JPEG,RGB,"(1280, 1061, 3)"
1225,Schizophrenia (2089).jpg,infected,JPEG,RGB,"(260, 194, 3)"
1226,Schizophrenia (209).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1228,Schizophrenia (2091).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1229,Schizophrenia (2092).jpg,infected,JPEG,RGB,"(938, 864, 3)"
1230,Schizophrenia (2093).jpg,infected,JPEG,RGB,"(355, 272, 3)"
1231,Schizophrenia (2094).jpg,infected,JPEG,RGB,"(323, 276, 3)"
1232,Schizophrenia (2095).jpg,infected,JPEG,RGB,"(357, 283, 3)"
1233,Schizophrenia (2096).jpg,infected,JPEG,RGB,"(218, 180, 3)"
1234,Schizophrenia (2097).jpg,infected,JPEG,RGB,"(348, 287, 3)"
1236,Schizophrenia (2099).jpg,infected,JPEG,RGB,"(630, 587, 3)"
1237,Schizophrenia (21).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1238,Schizophrenia (21).tif,infected,TIFF,RGB,"(256, 256, 3)"
1239,Schizophrenia (210).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1240,Schizophrenia (2100).jpg,infected,JPEG,RGB,"(246, 205, 3)"
1241,Schizophrenia (2101).jpg,infected,JPEG,RGB,"(279, 258, 3)"
1242,Schizophrenia (2102).jpg,infected,JPEG,RGB,"(369, 400, 3)"
1244,Schizophrenia (2104).jpg,infected,JPEG,RGB,"(283, 231, 3)"
1245,Schizophrenia (2105).jpg,infected,JPEG,RGB,"(359, 300, 3)"
1246,Schizophrenia (2106).jpg,infected,JPEG,RGB,"(370, 286, 3)"
1247,Schizophrenia (2107).jpg,infected,JPEG,RGB,"(309, 232, 3)"
1248,Schizophrenia (2108).jpg,infected,JPEG,RGB,"(334, 283, 3)"
1249,Schizophrenia (2109).jpg,infected,JPEG,RGB,"(354, 303, 3)"
1250,Schizophrenia (211).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1251,Schizophrenia (2110).jpg,infected,JPEG,RGB,"(348, 297, 3)"
1252,Schizophrenia (2111).jpg,infected,JPEG,RGB,"(351, 273, 3)"
1253,Schizophrenia (2112).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
1254,Schizophrenia (2113).jpg,infected,JPEG,RGB,"(316, 270, 3)"
1255,Schizophrenia (2114).jpg,infected,JPEG,RGB,"(336, 264, 3)"
1256,Schizophrenia (2115).jpg,infected,JPEG,RGB,"(303, 223, 3)"
1257,Schizophrenia (2116).jpg,infected,JPEG,RGB,"(291, 253, 3)"
1258,Schizophrenia (2117).jpg,infected,JPEG,RGB,"(300, 263, 3)"
1259,Schizophrenia (2118).jpg,infected,JPEG,RGB,"(325, 254, 3)"
1261,Schizophrenia (212).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1262,Schizophrenia (2120).jpg,infected,JPEG,RGB,"(355, 290, 3)"
1263,Schizophrenia (2121).jpg,infected,JPEG,RGB,"(354, 279, 3)"
1264,Schizophrenia (2122).jpg,infected,JPEG,RGB,"(318, 273, 3)"
1265,Schizophrenia (2123).jpg,infected,JPEG,RGB,"(347, 300, 3)"
1266,Schizophrenia (2124).jpg,infected,JPEG,RGB,"(173, 189, 3)"
1267,Schizophrenia (2125).jpg,infected,JPEG,RGB,"(359, 297, 3)"
1268,Schizophrenia (2126).jpg,infected,JPEG,RGB,"(342, 273, 3)"
1269,Schizophrenia (2127).jpg,infected,JPEG,RGB,"(256, 256, 3)"
1270,Schizophrenia (2128).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1271,Schizophrenia (2129).jpg,infected,JPEG,RGB,"(212, 209, 3)"
1272,Schizophrenia (213).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1273,Schizophrenia (2130).jpg,infected,JPEG,RGB,"(300, 240, 3)"
1274,Schizophrenia (2131).jpg,infected,JPEG,RGB,"(277, 272, 3)"
1276,Schizophrenia (2133).jpg,infected,JPEG,RGB,"(344, 279, 3)"
1277,Schizophrenia (2134).jpg,infected,JPEG,RGB,"(331, 272, 3)"
1278,Schizophrenia (2135).jpg,infected,JPEG,RGB,"(351, 278, 3)"
1279,Schizophrenia (2136).jpg,infected,JPEG,RGB,"(237, 213, 3)"
1280,Schizophrenia (2137).jpg,infected,JPEG,RGB,"(331, 260, 3)"
1281,Schizophrenia (2138).jpg,infected,JPEG,RGB,"(236, 213, 3)"
1282,Schizophrenia (2139).jpg,infected,JPEG,RGB,"(251, 201, 3)"
1283,Schizophrenia (214).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1284,Schizophrenia (2140).jpg,infected,JPEG,RGB,"(352, 281, 3)"
1285,Schizophrenia (2141).jpg,infected,JPEG,RGB,"(960, 781, 3)"
1286,Schizophrenia (2142).jpg,infected,JPEG,RGB,"(349, 292, 3)"
1287,Schizophrenia (2143).jpg,infected,JPEG,RGB,"(630, 628, 3)"
1288,Schizophrenia (2144).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1289,Schizophrenia (2145).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1290,Schizophrenia (2146).jpg,infected,JPEG,RGB,"(519, 456, 3)"
1291,Schizophrenia (2147).jpg,infected,JPEG,RGB,"(555, 526, 3)"
1292,Schizophrenia (2148).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1293,Schizophrenia (2149).jpg,infected,JPEG,RGB,"(380, 310, 3)"
1294,Schizophrenia (215).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1295,Schizophrenia (2150).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1296,Schizophrenia (2151).jpg,infected,JPEG,RGB,"(251, 204, 3)"
1298,Schizophrenia (2153).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1299,Schizophrenia (2154).jpg,infected,JPEG,RGB,"(365, 306, 3)"
1301,Schizophrenia (2156).jpg,infected,JPEG,RGB,"(210, 200, 3)"
1302,Schizophrenia (2157).jpg,infected,JPEG,RGB,"(337, 293, 3)"
1303,Schizophrenia (2158).jpg,infected,JPEG,RGB,"(340, 291, 3)"
1304,Schizophrenia (2159).jpg,infected,JPEG,RGB,"(307, 271, 3)"
1305,Schizophrenia (216).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1306,Schizophrenia (2160).jpg,infected,JPEG,RGB,"(350, 315, 3)"
1307,Schizophrenia (2161).jpg,infected,JPEG,RGB,"(938, 911, 3)"
1309,Schizophrenia (2163).jpg,infected,JPEG,RGB,"(219, 230, 3)"
1310,Schizophrenia (2164).jpg,infected,JPEG,RGB,"(239, 211, 3)"
1311,Schizophrenia (2165).jpg,infected,JPEG,RGB,"(340, 314, 3)"
1312,Schizophrenia (2166).jpg,infected,JPEG,RGB,"(938, 911, 3)"
1313,Schizophrenia (2167).jpg,infected,JPEG,RGB,"(255, 197, 3)"
1314,Schizophrenia (2168).jpg,infected,JPEG,RGB,"(520, 433, 3)"
1316,Schizophrenia (217).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1317,Schizophrenia (2170).jpg,infected,JPEG,RGB,"(243, 205, 3)"
1318,Schizophrenia (2171).jpg,infected,JPEG,RGB,"(340, 288, 3)"
1319,Schizophrenia (2172).jpg,infected,JPEG,RGB,"(233, 215, 3)"
1320,Schizophrenia (2173).jpg,infected,JPEG,RGB,"(630, 504, 3)"
1321,Schizophrenia (2174).jpg,infected,JPEG,RGB,"(456, 374, 3)"
1323,Schizophrenia (2176).jpg,infected,JPEG,RGB,"(349, 300, 3)"
1324,Schizophrenia (2177).jpg,infected,JPEG,RGB,"(290, 250, 3)"
1325,Schizophrenia (2178).jpg,infected,JPEG,RGB,"(338, 264, 3)"
1326,Schizophrenia (2179).jpg,infected,JPEG,RGB,"(442, 353, 3)"
1327,Schizophrenia (218).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1328,Schizophrenia (2180).jpg,infected,JPEG,RGB,"(353, 300, 3)"
1329,Schizophrenia (2181).jpg,infected,JPEG,RGB,"(251, 201, 3)"
1330,Schizophrenia (2182).jpg,infected,JPEG,RGB,"(446, 450, 3)"
1331,Schizophrenia (2183).jpg,infected,JPEG,RGB,"(234, 216, 3)"
1332,Schizophrenia (2184).jpg,infected,JPEG,RGB,"(223, 226, 3)"
1333,Schizophrenia (2185).jpg,infected,JPEG,RGB,"(308, 244, 3)"
1334,Schizophrenia (2186).jpg,infected,JPEG,RGB,"(350, 272, 3)"
1335,Schizophrenia (2187).jpg,infected,JPEG,RGB,"(286, 241, 3)"
1336,Schizophrenia (2188).jpg,infected,JPEG,RGB,"(630, 630, 3)"
1337,Schizophrenia (2189).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1338,Schizophrenia (219).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1339,Schizophrenia (2190).jpg,infected,JPEG,RGB,"(260, 194, 3)"
1341,Schizophrenia (2192).jpg,infected,JPEG,RGB,"(225, 225, 3)"
1342,Schizophrenia (2193).jpg,infected,JPEG,RGB,"(938, 864, 3)"
1343,Schizophrenia (2194).jpg,infected,JPEG,RGB,"(355, 272, 3)"
1344,Schizophrenia (2195).jpg,infected,JPEG,RGB,"(323, 276, 3)"
1345,Schizophrenia (2196).jpg,infected,JPEG,RGB,"(357, 283, 3)"
1346,Schizophrenia (2197).jpg,infected,JPEG,RGB,"(336, 264, 3)"
1347,Schizophrenia (2198).jpg,infected,JPEG,RGB,"(303, 223, 3)"
1348,Schizophrenia (2199).jpg,infected,JPEG,RGB,"(295, 283, 3)"
1349,Schizophrenia (22).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1350,Schizophrenia (22).tif,infected,TIFF,RGB,"(256, 256, 3)"
1351,Schizophrenia (220).jpg,infected,JPEG,RGB,"(512, 512, 3)"
1352,Schizophrenia (2200).jpg,infected,JPEG,RGB,"(555, 526, 3)"
1353,Schizophrenia (2201).jpg,infected,JPEG,RGB,"(336, 264, 3)"
